Version,Platform,Released,VirusTotal
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-linux-arm64.bin),2026-07-24,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/7efdd93ef43c46bdfb0a98a9a10ba4eeb41466b4ba8e657e12934177bfb23604)
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-linux-x64.bin),2026-07-24,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/f0548912c38068309b7166b44bf8cc1b2ec27ed915ebbe300b2770e0c4de6553)
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-macos-arm64.bin),2026-07-24,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/ccbefdcc92c72e109d14cb265f0144b3ef81d23de6949858e7329a574b549c80)
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-macos-x64.bin),2026-07-24,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/2ac626639271ec7f5c88f50480bf487e92d6e7366f7957350e5b559e566f1fc2)
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-windows-arm64.exe),2026-07-24,[{octicon}`shield;1em;sd-text-warning` 4.4%](https://www.virustotal.com/gui/file/6c9a3e098c08830587be7389abb12d85ffec55d68c76b70c207a5c9a4c4d0bf6)
[`8.6.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.6.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.6.0/click-extra-8.6.0-windows-x64.exe),2026-07-24,[{octicon}`shield;1em;sd-text-danger` 20.3%](https://www.virustotal.com/gui/file/f92ad575bcef1a76b5b9deddb1ff86d230b3dbfe73a13d905a5f922a3f54cfe9)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-linux-arm64.bin),2026-07-22,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/cf48e9bb8c354a473808e0ab2e1a0079041cf48be1cd1c1c95250c6237d24f41)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-linux-x64.bin),2026-07-22,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/86342800504ce416808c03dea9c58173e2ef83f0861f2e50a7751908ccea733a)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-macos-arm64.bin),2026-07-22,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/a24915efb08cb456537d6ada61b6c59dd72506326e5c6daaac1e720837e43bae)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-macos-x64.bin),2026-07-22,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/e47c9db73ff37ad7e41588d66017bb7e1b24072904af5ee59ffcea287d7e12d0)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-windows-arm64.exe),2026-07-22,[{octicon}`shield;1em;sd-text-warning` 4.9%](https://www.virustotal.com/gui/file/5240988faf90a41c442a3820985d25fd998a2e4799a9a8c97625d0c251494887)
[`8.5.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.5.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.5.0/click-extra-8.5.0-windows-x64.exe),2026-07-22,[{octicon}`shield;1em;sd-text-danger` 17.4%](https://www.virustotal.com/gui/file/e92766c6355ae0eeabc6461c296de8e4316093ff65e5919c259af689e5d03348)
[`8.4.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.4.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.4.0/click-extra-8.4.0-linux-x64.bin),2026-07-16,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/dec67aff4d98f2329568061fc4b687a9ae85a6eeb3726bacdfdc799c93f0ab08)
[`8.4.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.4.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.4.0/click-extra-8.4.0-macos-arm64.bin),2026-07-16,[{octicon}`shield;1em;sd-text-warning` 1.9%](https://www.virustotal.com/gui/file/d11e481860fcb21f71f17596be51e31ad758165b5b57869c6b5b49b07a094579)
[`8.4.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.4.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.4.0/click-extra-8.4.0-macos-x64.bin),2026-07-16,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/9a7999807946ebe2f2d88a84f99d83d88409df905176c188bef50c7fba5d0495)
[`8.4.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.4.0),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/click-extra/releases/download/v8.4.0/click-extra-8.4.0-windows-arm64.exe),2026-07-16,[{octicon}`shield;1em;sd-text-warning` 3.0%](https://www.virustotal.com/gui/file/afc65ef981e7e332921dda63690520e485ccfd3d59f92c407811a268dd0cb4c4)
[`8.4.0` {octicon}`link-external`](https://github.com/kdeldycke/click-extra/releases/tag/v8.4.0),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/click-extra/releases/download/v8.4.0/click-extra-8.4.0-windows-x64.exe),2026-07-16,[{octicon}`shield;1em;sd-text-danger` 17.6%](https://www.virustotal.com/gui/file/1e38b9e853f0175bff0b27a7f5ee7b773b3796e6ffdf23ed90eaee9241c6df70)
